paikka,maa,lat,lon
Suomussalmi,"Suomussalmi, Finland",64.8841107,28.911656
Jurva,"Jurva, Finland",62.68265340000001,21.9722632
Pälkäne,"Palkane, Finland",61.337656,24.2690875
Sippola,"Sippola, Finland",60.7392441,27.0006998
Vihti,"Vihti, Finland",60.4165735,24.3256379
Hailuoto,"Hailuoto, Finland",65.0333333,24.7
Lappajärvi,"Lappajärvi, Finland",63.22477469999999,23.6296369
Jämsä,"Jämsä, Finland",61.8638263,25.1896173
Lapinlahti,"Lapinlahti, Finland",63.3667365,27.3921568
Mikkeli,"Mikkeli, Finland",61.68580739999999,27.2734876
Kauhava,"Kauhava, Finland",63.10119710000001,23.0650223
Salla,"Salla, Finland",66.8326525,28.6701181
Pihtipudas,"Pihtipudas, Finland",63.3706094,25.5754706
Kiihtelysvaara,"Kiihtelysvaara, Finland",62.4931114,30.251231400000002
Rautu,"Rautu, Finland",61.42049189999999,22.6504313
Noormarkku,"Noormarkku, Finland",61.5926845,21.8684223
Liperi,"Liperi, Finland",62.52913659999999,29.3853637
Rautalampi,"Rautalampi, Finland",62.6243044,26.8277487
Kalajoki,"Kalajoki, Finland",64.2578332,23.9475943
Ikaalinen,"Ikaalinen, Finland",61.771019,23.0586579
Loppi,"Loppi, Finland",60.71779339999999,24.4417325
Alatornio,"Alatornio, Finland",65.8258431,24.1674472
Hollola,"Hollola, Finland",60.9887015,25.5163229
Kurkijoki,"Kurkijoki, Finland",61.4069219,24.8433034
Alastaro,"Alastaro, Finland",60.9519814,22.8619269
Moloskovitsa,"Молосковицы, Россия",59.39718699999999,29.05412699999999
Velkua,"Velkua, Finland",60.4658914,21.6646068
Sotkamo,"Sotkamo, Finland",64.1306547,28.3904979
Kerimäki,"Kerimäki, Finland",61.9126198,29.2814261
Hinnerjoki,"Hinnerjoki, Finland",60.99986000000001,21.9838315
Joutsa,"Joutsa, Finland",61.7429181,26.1137216
Askola,"Askola, Finland",60.53044129999999,25.5978426
Urjala,"Urjala, Finland",61.08030589999999,23.548624
Markkova,"Markkova, Finland",59.5878, 33.2615
Artjärvi,"Artjärvi, Finland",60.7436534,26.0550789
Lappee,"Lappee, Finland",67.9222304,26.5046438
Padasjoki,"Padasjoki, Finland",61.3509378,25.2781249
Lieto,"Lieto, Finland",60.5033247,22.4592913
Paavola,"Paavola, Finland",64.60820919999999,25.2059423
Jaala,"Jaala, Finland",61.05135559999999,26.4695908
Juupajoki,"Juupajoki, Finland",61.7961164,24.3699747
Hietamäki,"Hietamäki, Finland",63.0721062,22.5189181
Pielisjärvi,"Pielisjärvi, Finland",63.311295,30.043316
Kitee,"Kitee, Finland",62.0984379,30.1380045
Heinola,"Heinola, Finland",61.2042303,26.0381008
Ilmajoki,"Ilmajoki, Finland",62.73460989999999,22.5708697
Saarijärvi,"Saarijärvi, Finland",62.7066981,25.2553606
Vittanki,"Vittanki, Sweden",67.677258,21.6468466
Vermlanti,"Värmland, Sweden",59.7294065,13.2354024
Eurajoki,"Eurajoki, Finland",61.2023562,21.7339845
